name,host,type,x,y,z,t,log10lum
SN2005ai,NGC 2314,Ia,-37.087998431940456,31.774823595525753,25.295077738279492,2005.1995217756362,9.016
SN2005aj,UGC 2411,Ic,-23.300866954075737,27.13694670305835,9.468670594324829,2005.215949330121,7.816
SN2005ak,A144032+0330,Ia,70.0509136854094,-5.509616710709388,99.73220951899337,2005.2296389588582,9.776
SN2005aq,NGC 1599,IIn,-45.81951857109015,-16.580015436182283,-31.643084648142036,2005.2691654802322,8.536000000000001
SN2005ar,A111519-0346,Ib,-9.412837445283303,-69.92759978471028,88.26397498174472,2005.2773792574746,8.936000000000002
SN2005as,NGC 3450,Ia,-1.8645036174918828,-50.04354891345356,33.13320158703564,2005.1408297740297,9.0872
SN2005av,NGC 6943,II,20.285265592099304,-13.709789320966635,-17.33636861146824,2005.3157102179389,8.696000000000002
SN2005ax,NGC 1544,nan,-31.34086699613688,42.12435377008738,24.87767825547599,2005.321186069434,9.616
SN2005B,UGC 11066,II,-11.399433435736475,52.947819817238155,31.39014644670355,2005.1161884423027,8.296000000000001
SN2005bb,UGC 8067,II,12.459960843713437,-17.203664703121646,38.532885910033976,2005.3360712590807,7.975999999999999
SN2005bd,MCG +09-11-02,Ia,-154.11988174900148,49.93402670234728,44.47083344129136,2005.3415471105757,9.256
SN2005bh,UGC 6495,Ic,-23.601347904311964,-22.43607996924733,93.49116906271504,2005.360712590808,8.975999999999999
SN2005bi,MCG +07-34-36,II,47.84989413291754,91.19988796249625,99.20669366074407,2005.3634505165553,8.591999999999999
SN2005bk,MCG +07-33-27,Ic,27.271272897896512,67.73805005341407,82.56078154601992,2005.3388091848283,8.81
SN2005bm,A152045+3648,Ia,135.09786353910323,229.5331188214305,412.00907105460294,2005.360712590808,9.436000000000002
SN2005bn,A120323+3519,II,-28.502888796015796,4.345483882190437,123.68387970997506,2005.3524988135655,8.936000000000002
SN2005bq,IC 4367,Ic,43.49401994404658,-38.76918430962414,22.890622033340904,2005.37987807104,8.176
SN2005br,IC 5084,Ib,38.09777359617179,-20.629423415699083,-35.48220027775393,2005.3266619209287,8.816
SN2005bs,A201014-5638,Ia,201.6529251036667,-69.09528811160394,-138.85711705890134,2005.385353922535,9.684000000000001
SN2005bt,UGC 8205,II,-31.735180429712635,57.47979633109581,108.71040123571122,2005.3880918482823,8.896
SN2005bu,CGCG 117-019,Ia,-121.75084266042306,-35.21885033902633,37.2394265835844,2005.3908297740297,9.124
SN2005bv,A142407+2617,Ia,46.90985887150057,33.99432889974717,153.42702090346313,2005.3880918482823,10.096000000000002
SN2005bz,UGC 11162,II,34.56158161056865,52.353903183450626,23.811255700485024,2005.4127331800094,7.936
SN2005C,A111529+6045,Ib,-100.90091049920586,78.68635411811262,167.7750396692852,2005.1134505165553,9.176
SN2005ca,A133238+1148,Ia,210.95661673413818,-88.72064469108649,699.5155130958024,2005.4495217756362,9.216
SN2005cb,NGC 6753,Ic,39.774243026984784,-14.709418249226834,-19.890404882748506,2005.4522597013836,8.912
SN2005cd,IC 651,nan,-12.647181499705507,-42.36697742736669,50.47274535610786,2005.460473478626,8.376
SN2005ce,IC 5233,Ib/c,2.629215736052534,98.01817278156221,-51.99866510956906,2005.4933285875954,8.536000000000001
SN2005cg,A211050+0012,Ia,76.35830489292829,93.44515644379528,-70.97472797463351,2005.505475851495,9.096000000000002
SN2005cj,ESO 114-G14,nan,22.57244109045033,-60.18940212635354,-86.78548712135147,2005.5328551089694,8.776
SN2005ck,A130218+2820,Ia,8.829802550386079,15.545365459937463,379.57920938802505,2005.5136896287372,9.496
SN2005cm,IC 5142,nan,45.011729509566216,-30.275713670080826,-50.33215044407428,2005.554758514949,8.896
SN2005cn,NGC 5061,Ia,11.017277918403341,-13.021353636661045,12.250058642213773,2005.5520205892017,9.016
SN2005co,IC 1496,Ia,6.166611304153772,38.668589964877114,-65.36935868701549,2005.554758514949,8.736000000000002
SN2005cq,A095200-2043,Ia,-362.109376918785,-1455.3481839821854,711.6448991788278,2005.4522597013836,9.456000000000001
SN2005cr,A122217+1223,Ia,3.107221700877059,-26.722803785678952,92.36999618454956,2005.5657102179389,9.853200000000001
SN2005ct,NGC 207,Ic,-4.602998004417905,12.420874545343318,-56.569817790940135,2005.5860712590807,8.496
SN2005cu,NGC 6754,II,36.51740213010788,-8.732290916153834,-16.468953731905664,2005.610712590808,8.776
SN2005cw,IC 1439,II,70.38342150367501,46.48582685249225,-117.94168847051546,2005.6134505165553,8.975999999999999
SN2005cx,IC 178,Ia,-47.22115676379163,42.936854903980674,-28.75045816754798,2005.6244022195451,9.496
SN2005cz,NGC 4589,Ib,-8.241084021729769,12.112483469354554,13.615148855278925,2005.62987807104,8.296000000000001
SN2005D,UGC 3856,IIb,-59.14859391757846,-19.417125831295827,18.69275426535708,2005.11892636805,8.136000000000001
SN2005dc,NGC 7107,Ia,17.792787400183364,-1.580620995890442,-20.246440521712117,2005.6545194027672,8.536000000000001
SN2005dd,UGC 2062,II,-64.75881718756122,13.562751614589539,-85.36010405985324,2005.6694045924141,8.696000000000002
